Date	Name	Duration					
20.03.2016	Android: Netrunner	0.5	online				
20.03.2016	Android: Netrunner	0.2	online				
21.03.2016	Android: Netrunner	0.2	online				
21.03.2016	Android: Netrunner	0.3	online				
21.03.2016	Android: Netrunner	0.4	online				
21.03.2016	Android: Netrunner	0.3	online				
22.03.2016	Android: Netrunner	0.3	online				
22.03.2016	Android: Netrunner	0.3	online				
22.03.2016	Android: Netrunner	0.3	online				
22.03.2016	Android: Netrunner	0.3	online				
22.03.2016	Android: Netrunner	0.3	online				
23.03.2016	Android: Netrunner	0.2	online				
23.03.2016	Android: Netrunner	0.3	online				
23.03.2016	Android: Netrunner	0.5	online				
23.03.2016	Castles of Mad King Ludwig	1.5					
23.03.2016	Isle of Skye	1					
23.03.2016	Android: Netrunner	0.5					
23.03.2016	Android: Netrunner	0.5					
24.03.2016	Android: Netrunner	0.2	online	NEH - Podoshop	Val	lose	
24.03.2016	Android: Netrunner	0.2	online	NEH - Podoshop	Maxx	win	score
24.03.2016	Android: Netrunner	0.2	online	NEH - Podoshop	Leela	win	flatline
24.03.2016	Android: Netrunner	0.2	online	NEH - Podoshop	Hayley	lose	
24.03.2016	Android: Netrunner	0.5	online	Hayley - Pitchfork	HB - ETF	lose	concede
24.03.2016	Android: Netrunner	0.2	online	Sync - Here kitty kitty!	Leela	lose	
24.03.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Val	win	score
24.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Leela	win	flatline
24.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Kim	win	flatline
24.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Quetzal	win	score
24.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Quetzal	win	score
24.03.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Kate	lose	
25.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Whizzard	lose	
25.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Sunny	win	score
25.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Andromeda	win	score
25.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Whizzard	win	concede
25.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Ken	win	score
25.03.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Geist	win	score
26.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Quetzal	win	score
26.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Geist	win	score
26.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Sil	win	concede
26.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Maxx	win	score
26.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	CT	lose	Hyperdriver - Keyhole - False echo
26.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Sil	win	score
26.03.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	CT	win	score
26.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Noise	win	score
26.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Leela	lose	Medium
27.03.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	CT	lose	RDI - 50/50 kitty, kitty, beale, food
27.03.2016	Android: Netrunner	0.5	online	Hayley - Pitchfork	Blue Sun	win	RDI
27.03.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Apex	win	score
27.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Geist	win	concede
27.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Andromeda	win	score
27.03.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Hayley	draw	disconnect
28.03.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Geist	lose	siphon
28.03.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Ken	lose	DLR
28.03.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Geist	win	all-seeing-ragequit
29.03.2016	Android: Netrunner	0.5	online	Hayley - Pitchfork	NEH	win	RDI - clot
29.03.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Leela	win	Medium - kitty
29.03.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Ken	win	score
30.03.2016	Android: Netrunner	0.5					
30.03.2016	Android: Netrunner	0.5					
30.03.2016	Android: Netrunner	0.5					
30.03.2016	Android: Netrunner	0.5					
30.03.2016	Android: Netrunner	0.5					
30.03.2016	Lord of the Rings - LCG	1					
30.03.2016	Patchwork	0.5					
