Date	Name	Duration	
27.12.2015	Android: Netrunner	0.75	
27.12.2015	Android: Netrunner	0.75	
27.12.2015	Android: Netrunner	0.75	
27.12.2015	Race! Formula 90	2	
29.12.2015	Race! Formula 90	1.5	
30.12.2015	Android: Netrunner	0.75	
30.12.2015	Android: Netrunner	0.75	
30.12.2015	Android: Netrunner	0.75	
30.12.2015	Android: Netrunner	0.75	
31.12.2015	Race! Formula 90	1.5	
