Date	Name	Duration				
30.06.2017	Sentinels of the Multiverse	1	Baron Blade vs Legacy, Visionary, Ra, Tachyon - win			
01.07.2017	Sentinels of the Multiverse	1.25	Baron Blade vs Legacy, Visionary, Ra, Tachyon - win			
01.07.2017	Sentinels of the Multiverse	1.25	Omnitron vs Wraith, Fanatic, Tempest, AbsZero - win			
02.07.2017	Sentinels of the Multiverse	1.75	Citizen Dawn vs Wraith, Fanatic, Haka, Bunker - win			
04.07.2017	Coffee Roaster	1	24 pts			
05.07.2017	Sentinels of the Multiverse	1	Grand Warlord Voss vs Wraith, AbsZero, Haka, Bunker - win			
05.07.2017	Star Realms	0.3	The Hive - win			
06.07.2017	Star Realms	0.3	The Hive - win			
06.07.2017	Star Realms	0.3	The Hive - win			
07.07.2017	Hero Realms	0.3	Tyrannor, the Devourer - +43			
07.07.2017	Hero Realms	0.3	Tyrannor, the Devourer - +31			
07.07.2017	Hero Realms	0.3	Tyrannor, the Devourer - +11			
08.07.2017	Sentinels of the Multiverse	1.25	Gloomweaver vs Mr. Fixer, Argent Adept, Nightmist, Expatriette - lose 			
10.07.2017	Sentinels of the Multiverse	1.25	Plague Rat vs Vengeance Heroes - win			
10.07.2017	Viticulture	0.75	Aggressive Automa 20 - 26 win			
16.07.2017	Sentinels of the Multiverse	1	Kismet vs Captain Cosmic, Chronoranger, Omnitron-X, Skyscraper - win			
16.07.2017	Terraforming Mars	1	Inventrix - 1 temperature short			
16.07.2017	Mechs vs Minions	2	Mission 8 - win			
17.07.2017	Urbion	0.5	No expansions - lose			
21.07.2017	Cottage Garden	0.75	65 pts			
22.07.2017	Cottage Garden	0.5	62 pts			
22.07.2017	Cottage Garden	0.5	72 pts			
23.07.2017	Century Spice Road	0.75	59 - 59 lose			
25.07.2017	Century Spice Road	0.75	win			
10.08.2017	Rallyman	0.5	August - Stage 1 - XX:XX			
10.08.2017	Rallyman	0.3	August - Stage 2 - XX:XX			
10.08.2017	Rallyman	0.25	August - Stage 2 - XX:XX			
10.08.2017	Rallyman	0.4	August - Stage 1 - 06:13			
10.08.2017	Rallyman	0.25	August - Stage 2 - 03:41			
13.08.2017	Vinhos Deluxe	2	122 - 101 (9 accolades)			
15.08.2017	Hero Realms	0.3	The Guild Lord's Army - first test			
15.08.2017	Hero Realms	0.7	The Guild Lord's Army - 10			
19.08.2017	Vinhos Deluxe	2	117 - 97 (13 accolades)			
20.08.2017	New Angeles	1	Misplayed demand rule			
21.08.2017	New Angeles	2	Slum Lords - lose (1 consumable short...)			
23.08.2017	Star Realms	0.3	Smashmechs: -29 loss			
23.08.2017	Star Realms	0.4	Smashmechs: 151 win			
26.08.2017	New Angeles	2	Scenario XXX - win (each corp 30+)			
27.08.2017	Terraforming Mars	1	Thorgate - lose (-2 temp -2 oxygen)			
29.08.2017	FUSE	0.2	Expert - lose - 6 remaining			
29.08.2017	FUSE	0.2	Expert - lose - 2 remaining			
29.08.2017	FUSE	0.2	Expert - lose - 2 remaining			
29.08.2017	FUSE	0.2	Export - win - 88			
29.08.2017	Five Tribes	1	Solo - 258 pts			
02.09.2017	Falling Sky	2	Playbook			
03.09.2017	Terraforming Mars	0.7	Teractor - lose - (-8 oxygen -4 ocean)			
06.09.2017	Falling Sky	2	Lose - Aeduin win at first winter			
08.09.2017	Aeons End	0.8	Prince of Gluttons - lose			
08.09.2017	Aeons End	0.8	Prince of Gluttons - win			
08.09.2017	Apex: Theropod	0.5	Spinosaurus vs Dinonychus - lose			
08.09.2017	Apex: Theropod	0.5	Spinosaurus vs Dinonychus - win			
09.09.2017	Sentinels of the Multiverse	1.2	Nightmist, Visionary, Skyscraper, Tachyon vs Deadline - win			
10.09.2017	Viticulture	1	(first time with expansion) 36 pts win			
10.09.2017	Urbion	0.4	No expansions - lose			
10.09.2017	Onirim	0.4	Glyphs - win			
10.09.2017	Sylvion	0.8	Elements - win			
10.09.2017	Castellion	0.1	quick lose			
10.09.2017	Castellion	0.2	win			
11.09.2017	The Networks	1	239 points - lose			
12.09.2017	Freedom: The Underground Railroad	2	3 characters - normal - win			
13.09.2017	Rallyman	0.75	September - Race - 17:00			
16.09.2017	FUSE	0.2	Introduction - H,M and Sue - win			
16.09.2017	FUSE	0.2	Standard - H,M and Sue - win			
16.09.2017	Super Motherload	1.5	* Mad - Sue - Happy			
17.09.2017	Brew Crafters	1	vs Web AI - ~80 pts			
17.09.2017	7 Wonders Duel	0.5	Mad 64 - Perikles 67			
17.09.2017	7 Wonders Duel	0.5	Mad 66 - Perikles 87			
17.09.2017	7 Wonders Duel	0.5	* Mad - Perikles (military)			
17.09.2017	7 Wonders Duel	0.5	Mad 49 - Perikles 62			
18.09.2017	The Prodigals Club	2	Two Handed: 13 - 14			
19.09.2017	Doomtown Reloaded	1.5	versus Ricky Royal AI - win			
21.09.2017	Coffee Roaster	0.7	31 pts			
21.09.2017	7 Wonders Duel	0.4	Mad 59 - Alexander* 79			
22.09.2017	7 Wonders Duel	0.3	Mad - Alexander* (military)			
22.09.2017	7 Wonders Duel	0.2	Mad - Alexander* (military)			
22.09.2017	7 Wonders Duel	0.4	Mad 47 - Alexander* 70			
23.09.2017	Tiny Epic Western	1	Beginner AI: 18 - 19 lose			
23.09.2017	Imperial Settlers	1	Aztecs - 68 pts			
23.09.2017	Limes	0.2	34 pts			
24.09.2017	Arkham Horror - LCG	0.8	Core - Scenario 1 - Wendy - R2			
24.09.2017	Arkham Horror - LCG	1.2	Core - Scenario 2 - Wendy - R2			
25.09.2017	Arkham Horror - LCG	0.3	Core - Scenario 3 - Wendy - lose			
25.09.2017	Arkham Horror - LCG	0.9	Core - Scenario 3 - Wendy - R1			
26.09.2017	Arkham Horror - LCG	1.5	Dunwich - Scenario 1b - Zoey, Daisy - R2			
28.09.2017	Arkham Horror - LCG	2	Dunwich - Scenario 1a - Zoey, Daisy - R3			
28.09.2017	Arkham Horror - LCG	1.5	Dunwich - Scenario 2 - Zoey, Daisy - R1			
29.09.2017	Arkham Horror - LCG	1.5	Dunwich - Scenario 3 - Zoey, Daisy - R2			
30.09.2017	Arkham Horror - LCG	1	Dunwich - Scenario 4 - Zoey, Daisy - R3			
30.09.2017	Arkham Horror - LCG	1.5	Dunwich - Scenario 5 - Zoey, Daisy - R2			
01.10.2017	Arkham Horror - LCG	1.2	Dunwich - Scenario 6 - Zoey, Daisy - R1			
01.10.2017	Arkham Horror - LCG	1	Dunwich - Scenario 7 - Zoey, Daisy - R1			
01.10.2017	Android: Netrunner	1.2	* H (Ayla) - M (Seidr)			
01.10.2017	Patchwork	0.4	H - M *			
